식물 이름,사진,학명,설명,물주기,빛,습도,잘 자라는 온도,"겨울철 관리 온도
",특징 색상,식물 유형,가시 유무,잎 모양1,잎 모양2,잎 모양3,잎 모양4,식물경험,"반려식물
안전성",유통 크기,난이도,유통가격,,,,,,,
싱고니움 웬들란디 (벨벳 싱고니움),그림,Syngonium Wendlandii Schott,"싱고니움 웬들란디는 짙은 녹색에 벨벳질감의 보들보들한 잎 가운데 하얀 깃털같은 무늬가 있는 싱고니움이에요. 다른 싱고니움의 잎에 비해 길고 더 화살촉같이 보인답니다. 벨벳질감의 잎을 가진만큼 습도 관리가 중요해 주변 공기가 너무 건조해지지 않도록 관리해주시고, 직접적인 강한 빛은 피해 놓아주셔야 해요. 잎을 자르면 나오는 수액에 독성이 있으니 아이가 있는 집이나 반려동물이 있는 집에는 주의해서 키워야 해요. 웬들란디는 줄기가 직립으로 위로 길게 자라기보다 덩굴성의 성질을 지닌 싱고니움이에요. 따라서 지지대를 세워주면 줄기를 기대어 키를 키우면서 잎을 크게 발달시켜준답니다.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지,40~70%,21~25℃,15℃ 이상,짙은 녹색잎에 가운데 하얀 깃털 무늬,잎을 감상하는,,하트모양,길쭉한,무늬가 있는,잎 끝이 뾰족한,,주의 필요,"소, 중형",중,"소: 8천원~1만원
중: 1만2천원~2만원",,,,,,,
싱고니움 레드스팟,그림,Syngonium podophyllum 'Red Spot',"싱고니움 레드스팟은 다른 싱고니움보다 길쭉한 풀색의 잎에 인디핑크색의 물감을 칠한 것 같은 무늬가 있는 식물이에요. 싱고니움 레드스팟의 잎은 다른 싱고니움의 잎과 다르게 세 갈래로 나누어져 있는 것이 특징이에요. 따뜻한 온도와 높은 습도를 좋아하고, 은은한 빛이 드는 밝은 공간에서 키우면 예쁜 무늬를 유지할 수 있답니다. 잎을 자르면 나오는 수액에 독성이 있으니 아이가 있는 집이나 반려동물이 있는 집에는 주의해서 키워야 해요. 빛을 향해 잎이 자라는 특징이 있어서 잎이 햇빛을 골고루 받을 수 있게, 화분을 돌려가며 키워주세요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지,40~70%,21~25℃,15℃ 이상,풀색의 잎에 핑크색 무늬,잎을 감상하는,,하트모양,갈라진,무늬가 있는,잎 끝이 뾰족한,,주의 필요,소형,중,1만원~1만5천원,,,,,,,
싱고니움 글로고,그림,Syngonium podophyllum 'Glo-go',"싱고니움 글로고는 진한 초록색의 화살촉모양의 잎에 잎맥을 따라 하얀색 무늬가 화려한 식물이에요. 싱고니움의 잎의 모양은 화살촉 모양과 비슷해서 'Arrow Head Plant'라고 불리기도 해요. 반그늘과 따듯한 환경을 좋아하는 거실과 사무실에 두면 좋은 식물이에요. 잎을 자르면 나오는 수액에 독성이 있으니 아이가 있는 집이나 반려동물이 있는 집에는 주의해서 키워야 해요. 빛을 향해 잎이 자라는 특징이 있어서 잎이 햇빛을 골고루 받을 수 있게, 화분을 돌려가며 키워주세요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지,40~70%,21~25℃,15℃ 이상,진한녹색의 잎에 잎맥을 따라 하얀색 무늬,잎을 감상하는,,하트모양,무늬가 있는,잎 끝이 뾰족한,,,주의 필요,"소,중형",중,"소: 1만원~1만2천원
중: 2만원~3만5천원",,,,,,,
핑크 은행목 (핑크 아악무),그림,Portulacaria afra 'Variegata',"핑크 은행목은 사랑무, 벚꽃 아악무, 칼라 아악무, 사랑목 등 다양한 이름으로 유통되고있는 다육식물입니다. 남아프리카에서 온 핑크 은행목은 은행목의 변종을 여러 번 교배하여 만들어진 잎변이종으로 변종이 많아 종류에 따라 분홍색 잎의 발현이 달라질 수 있어요. 이 아름다운 색감 덕분에 꽃을 보는 것 같은 느낌을 자아내어 인기가 많은 식물입니다. 새로 돋아나는 새 순에서 핑크빛이 나오므로 순치기를 자주 잘 해줘야 핑크 잎을 많이 볼 수 있어요. 은행목은 독성이 없어 코끼리나 육지 거북이가 즐겨 먹는 식물이기도 해서 'Elephant Bush'라고도 알려져 있고, 밤에 이산화탄소를 제거해주는 기능이 탁월한 식물이랍니다.","평균 월 1~2회
빳빳한 잎이 쭈굴쭈굴해지면 듬뿍 주세요",양지,40~70%,15~25℃,10℃ 이상,핑크빛 새순이 초록으로 변함,다육/선인장,X,둥근모양,무늬가 있는,잎이 두꺼운,,,,소형,중,1만5천원~2만5천원,,,,,,,
괴마옥 (파인애플 선인장),그림,Euphorbia hypogaea,"파인애플을 닮은 괴마옥은 남아프리카 케이프 지역의 열대 초원에서 온 다육식물이에요. '귀신을 쫓는구슬'이라는 뜻의 이름으로 나쁜 기운을 물리쳐준다고 해요. 게다가 물을 자주 주지 않아도 되고, 키우기 어렵지 않아서 선물용으로도 인기 있는 식물입니다. 위로 쭉쭉 키를 키우는 괴마옥은 새로 자라는 줄기는 녹색을 띠고 있지만 시간이 지날수록 갈색으로 목질화되어 괴마옥을 더 파인애플처럼 보이게 해요. 괴마옥은 아미산과 철갑환의 교잡종으로, 어렸을 때 아미산과 아주 비슷한 생김새를 가지고 있어 간혹 아미산을 괴마옥으로 판매하는 경우가 있어요. 아미산은 키가 잘 크지 않고 옆으로 자구를 내어 퍼지면서 자란답니다. 괴마옥을 자르거나 상처를 내게 되면 하얀 진액이 나오는데, 이 진액에는 독성이 있어 직접 손에 닿지 않도록 항상 주의가 필요해요.","평균 월 1~2회
단단한 몸통이 말랑해지면 듬뿍 주세요",양지,40~70%,18~25℃,13℃ 이상,"녹색 잎, 줄기가 녹색에서 갈색으로 변함",다육/선인장,X,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,,초보자,주의 필요,소형,하,6천원~1만원,,,,,,,
천리향 (서향 나무),그림,Daphne odora,"강희안의 '양화소록'에도 키우는 방법이 나와있을만큼 오랜 역사를 자랑하는 천리향은 그 향기가 천 리를 간다고 해서 붙여진 이름입니다. 밝은 분홍색을 띠는 원통모양의 꽃이 동그랗게 모여피고, 길쭉하고 윤기나는 작은 잎이 꽃 주변에 4개가 모여자라 앙증맞은 수형을 가꿀 수 있어요. 열매에는 독성이 있어 섭취하면 안되지만, 보통 우리나라에서 유통되는 천리향은 수그루이기 때문에 열매를 맺지 않는다고 해요. 천리향은 뜨거운 온도와 너무 강한 빛에서는 활기를 잃어버리는 식물이랍니다. 한 번 걸러진 은은한 빛이 오래 들어오는 곳에서 주변 온도를 서늘하게 관리해주어야 해요. 천리향은 당 해에 꽃이 지고 생긴 새 줄기에서 나온 꽃눈들이 가을, 겨울을 지나 이듬해 여름에 꽃을 피우기때문에 겨울철 꽃눈이 냉해로 상하지 않도록 관리하는 것이 중요하답니다.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,40~70%,15~20℃,5℃ 이상,초록색 잎에 분홍색 꽃,꽃을 감상하는,,둥근모양,길쭉한,잎이 두꺼운,잎이 두꺼운,,,"소, 중형",중,"소: 7천원~1만2천원
중: 2만원~4만원",,,,,,,
수국,그림,Hydrangea spp.,"수국은 여름을 대표하는 꽃이에요. 아름다운 색깔의 앙증맞은 꽃이 여러 개 모여 동그란 구모양을 이룬 모습이 보기만해도 청량하고 시원해지는 느낌을 준답니다. 이름에 물 '水'가 들어가는만큼 물을 좋아하는 수국은 꽃이 피기 시작하면 물 마름이 아주 빠르고, 조금만 목이 말라도 잎과 꽃이 축 처져 물주기에 주의를 기울여야하는 식물이에요. 흔히들 수국은 뜨거운 여름을 좋아한다고 생각하지만, 수국은 뜨거운 온도와 너무 강한 빛에서는 활기를 잃어버리는 식물이랍니다. 한 번 걸러진 은은한 빛이 오래 들어오는 곳에서 주변 온도를 서늘하게 관리해주어야 건강한 수국을 만나볼 수 있어요. 대부분의 수국은 당 해에 생긴 꽃눈들이 가을, 겨울을 지나 이듬해 여름에 꽃을 피우기때문에 겨울철 꽃눈이 냉해로 상하지 않도록 관리하는 것이 중요하답니다.","평균 주 2회 이상
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,40~70%,16~26℃,10℃ 이상,초록잎에 구모양의 꽃은 색이 다양하다,꽃을 감상하는,,둥근모양,잎 끝이 뾰족한,잎이 두꺼운,,,,"소,중,대형",중,"소: 7천원~1만2천원
중: 2만원~4만원
대: 10만원~15만원",,,,,,,
휘커스 움베르타 (움벨라타 고무나무),그림,Ficus umbellata,"휘커스 움베르타는 얇지만 넓은 하트모양의 잎을 가지고 있어요. 잎이 넓어 음이온과 산소 발생량도 높은 편이라 '산소 제조기', '산소 탱크' 라는 별명이 붙었답니다. 휘커스 움베르타는 환경 변화에 예민해요. 특히 화분의 자리를 이동하면 휘커스 움베르타가 받는 빛의 양과 온도조건 등이 달라지기 때문에 자리 이동을 최소한으로 해줘야해요. 열대 아프리카 지역에서 온 휘커스 움베르타는 따뜻하고 온도 변화가 심하지 않은 곳에서 은은한 밝은 빛을 오랫동안 받을 수 있도록 키워주시면 건강하게 잘 키울 수 있어요. 봄, 여름철에는 빠른 성장 속도를 보이고, 지지대를 해주면 더 튼튼하게 잘 자란답니다.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,40~70%,18~29℃,10℃ 이상,초록,잎을 감상하는,,둥근모양,하트모양,잎 끝이 뾰족한,,,,"중, 대형",중,"중: 2만원~5만원
대: 15만원~20만원",,,,,,,
무늬 페페,그림,Peperomia obtusifuolia 'Variegata',"무늬 페페는 둥근 잎이 귀여운 청페페의 변이종으로, 크림색 무늬가 아름다운 식물이에요. 잎의 모양은 원형으로 둥글고 넓고 동그란 잎이 빽빽하게 어긋나 풍성한 느낌을 줘요. 도톰한 잎에 수분을 저장할 수 있어 물을 많이 필요로 하지 않고, 빛이 적은 곳에서도 잘 자라요. 따뜻한 중앙아메리카, 남아메리카의 숲에서 온 페페들은 추위만 피해주시면 키우기 어렵지 않은 순둥이 식물이랍니다. 무늬페페는 독성이 없어 반려동물과 어린아이가 있는 집에서도 안심하고 키울 수 있어요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,40~70%,18~27℃,13℃ 이상,초록잎에 크림색 무늬,잎을 감상하는,,둥근모양,무늬가 있는,잎 끝이 뾰족한,잎이 두꺼운,초보자,안전,소형,중,5천원~1만2천원,,,,,,,
파키포디움 호롬벤세,그림,Pachypodum rosulatum 'Horombense',"호롬벤세는 몸통과 줄기, 뿌리가 한 덩어리처럼 되어있는 다육식물의 한 종류입니다. 단단하고 통통한 줄기에 강한 가시, 그리고 강한 인상과 어울리지 않는 반전매력의 귀여운 작은 잎을 지닌 식물이랍니다. 이렇게 특이한 외형과 희소성 때문에 특이한 수형을 좋아하는 식집사분들께 많은 관심을 받고 있는 식물이랍니다. 마다가스카르에서 온 호롬벤세는 강렬한 태양과 건조한 습도를 좋아해 밝은 빛을 오랫동안 받을 수 있는 공간에서 통풍을 자주 시켜주면서 키워야해요. 낮은 온도에서는 잎을 모두 떨구고 월동에 들어가기 때문에 주변 온도를 늘 따뜻하게 관리해주셔야 한답니다.","평균 월 1~2회
통통한 몸통이 살짝 쭈글해지면 듬뿍 주세요",양지,40% 이하,20~35℃,13℃ 이상,녹색,다육/선인장,O,둥근모양,길쭉한,잎 끝이 뾰족한,,,,소형,중,2만5천원~3만5천원,,,,,,,
루비 고무나무,그림,Ficus elastica 'Ruby’,"루비 고무나무는 수채화 고무나무와 매우 비슷한 식물이에요. '루비'라는 이름답게 새 잎이 날 때 영롱한 붉은 빛을 가득 머금고있답니다. 따뜻한 온도와 밝은 빛 조건만 맞춰준다면 쉽게 키울 수 있는 식물이지만, 온도 변화에 예민한 편이기 때문에 차가운 바람이 드나드는 곳과 온도변화가 심한 창가는 피해 놓아주시고 잎에 먼지가 앉지 않도록 자주 닦아주어 더 많은 빛을 받아 양분을 만들 수 있도록 해주세요. 수액에는 독성이 있으니 어린아이와 반려동물이 섭취하지 않도록 주의해야 해요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,40~70%,21-25°C,13℃ 이상,녹색잎에 붉은 무늬,잎을 감상하는,,둥근모양,길쭉한,무늬가 있는,잎이 두꺼운,초보자,주의 필요,"소, 중형",중,"소: 1만원~1만2천원
중: 2만원~3만5천원",,,,,,,
필로덴드론 플로리다 뷰티,그림,Philodendron Pedatum ‘Florida Beauty’,"필로덴드론 플로리다 뷰티는 필로덴드론 페다텀의 잎 변이종 식물이에요. 마치 노란 물감을 발라놓은 것 같은 아름다운 무늬가 다섯갈래의 잎사귀에 아름답게 펼쳐져 있는 게 특징이랍니다. 플로리다 뷰티는 흙 위로 공중 뿌리가 자라나며 줄기를 지지하기도 하며, 수태봉으로 지지해주면 잎이 더 힘있고 크게 성장한답니다. 플로리다 뷰티는 열대우림같은 환경에서 가장 잘 자라요. 주변 공기를 따뜻하게, 그리고 촉촉하게 관리해주시면 건강하게 잘 키울 수 있어요. 필로덴드론의 종류답게 공기 중의 포름알데히드와 일산화탄소를 제거하는 능력이 뛰어나 실내 공기정화 식물로의 역할도 수행해요. 빛이 부족한 공간에서는 아름다운 무늬를 잃어버릴 수 있으니 은은한 밝은 빛을 오래 받을 수 있는 공간에 놓아주세요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,70% 이상,18~35℃,13℃ 이상,녹색잎에 노란무늬,잎을 감상하는,,길쭉한,갈라진,무늬가 있는,잎 끝이 뾰족한,,,"소, 중형",중,"소: 1만원~1만5천원
중: 1만5천원~3만원",,,,,,,
필로덴드론 플로리다 그린,그림,Philodendron Pedatum ‘Florida Green’,"마치 쫙 펴진 손바닥 같은 반질반질한 잎과 길쭉한 줄기가 시원시원한 느낌을 주는 필로덴드론 플로리다 그린은 따뜻한 중앙, 남아메리카에서 온 식물이에요. 존재감이 확실해 플로리다 그린 하나 만으로도 실내가 환해보이는 효과를 준답니다. 흙 위로 공중 뿌리가 자라나며 줄기를 지지하기도 하며, 수태봉으로 지지해주면 잎이 더 힘있고 크게 성장한답니다. 플로리다 그린는 열대우림같은 환경에서 가장 잘 자라요. 주변 공기를 따뜻하게, 그리고 촉촉하게 관리해주시면 건강하게 잘 키울 수 있어요. 필로덴드론의 종류답게 공기 중의 포름알데히드와 일산화탄소를 제거하는 능력이 뛰어나 실내 공기정화 식물로의 역할도 수행해요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,70% 이상,18~35℃,13℃ 이상,녹색,잎을 감상하는,,길쭉한,갈라진,잎 끝이 뾰족한,잎이 두꺼운,,,"소, 중형",중,"소: 7천원~1만2천원
중: 1만원~2만원",,,,,,,
화이트 고스트,그림,Euphorbia lactea ‘White Ghost’,"하얀 우유에 초록색 물감을 풀어놓은 듯한 오묘하고 독특한 색을 가지고 있는 화이트 고스트는 그 색감과 특이한 모양으로 식물 하나만으로도 공간의 분위기를 확 살려주는 다육식물입니다. 밝은 빛을 사랑하는 화이트 고스트는 밝은 빛이 가장 오래 머무는 공간에서 주변 공기를 건조하게 관리해주시면 초보 식집사도 건강하게 키울 수 있어요. 화이트 고스트는 녹색을 띠는 엽록소가 부족해 흰색을 띠고 있어요. 식물은 빛에서 영양분을 흡수하는 '광합성'을 하고 광합성은 엽록소가 많을수록 많이 일어나는데, 화이트 고스트는 광합성을 잘 할 수 없어 밝은 빛을 오랫동안 받을 수 있는 곳에 둬야 해요. 화이트 고스트에 상처가 나면 하얀 진액이 나오는데, 이 진액에는 독성이 있어 알러지 반응을 일으킬 수 있기 때문에 항상 주의가 필요해요","평균 월 1~2회
통통한 몸통이 살짝 쭈글해지면 듬뿍 주세요",양지,40~70%,15~27℃,13℃ 이상,화이트에 가까운 초록,다육/선인장,O,,,,,,주의 필요,소형,하,2만원~3만원,,,,,,,
